RUS_DOP,RUS_RV2T,RUS_EntropyZ,RUS_EntropyN,RUS_EntropyE,RUS_KurtosisZ,RUS_KurtosisN,RUS_KurtosisE,RUS_SkewZ,RUS_SkewN,RUS_SkewE,RUS_CDZ,RUS_CDN,RUS_CDE,BRR_DOP,BRR_RV2T,BRR_EntropyZ,BRR_EntropyN,BRR_EntropyE,BRR_KurtosisZ,BRR_KurtosisN,BRR_KurtosisE,BRR_SkewZ,BRR_SkewN,BRR_SkewE,BRR_CDZ,BRR_CDN,BRR_CDE,EsSismo
0.07198417,0.498668556,3.898013169,3.620787556,3.644208493,-0.006606705,-0.085251184,-0.309522701,0.294886452,-0.320235,-0.059567266,0.927141972,0.955591162,0.966915655,0.237358533,0.608012378,3.305124369,3.120652253,2.926026452,2.566896801,1.230805048,1.08967626,0.176191976,-0.426906923,-0.351012837,0.864603843,0.889351918,0.845742526,1
0.346779733,0.105186197,3.180588836,3.838927038,3.562397954,-0.9843363,0.220865074,-0.788933622,0.063865427,0.354483936,0.362528713,0.966171995,0.865216572,0.941826867,0.102085664,0.154090782,2.206655211,2.654896521,2.704218514,-0.265606202,-0.931676423,-0.869224187,-0.358333157,0.044066655,0.134739648,0.927381055,0.946774951,0.894706036,0
0.359573285,0.708542313,4.557185123,4.52782525,4.531929885,3.442475377,2.335197134,2.247297476,-0.556236831,0.012303309,0.081060989,0.683428729,0.925456105,0.935442413,0.121020898,0.555485879,3.261457032,3.282336632,3.316611669,4.002895357,0.936481788,1.327440929,0.585886562,0.08517853,-0.582152288,0.677119897,0.925298943,0.906542611,1
0.167454816,0.192485748,4.096869192,4.407945132,4.145444989,-0.71350921,-0.929600607,-0.641514531,0.248185647,0.299091469,0.139741385,0.965734654,0.945562022,0.881442108,0.15020698,0.180137581,2.621442683,3.089739719,3.0922902,-1.259228153,-0.465548248,-0.508874769,0.125503618,0.340306296,0.06136931,0.870582844,0.925795246,0.91459239,0
0.353099841,0.715529056,4.447980565,4.302429167,4.231069351,3.332945149,3.676969603,1.490587796,-0.197932428,-0.311996681,0.438078701,0.835182448,0.926909416,0.874808513,0.238241768,0.169829286,3.114116433,3.54434105,3.464128021,-0.171570374,-0.687433906,-0.445633791,0.303551122,0.112213432,0.06565451,0.951133327,0.927414001,0.966053849,1
0.140605661,0.248987199,3.679572506,3.86261761,3.809651296,-0.420841386,-0.610396969,-0.043279319,0.179341981,0.110921796,0.220585483,0.901528649,0.923985846,0.914486476,0.079562192,0.253273623,3.454158916,3.739233379,3.427016212,-0.525305873,0.246907749,-0.5229077,0.096430088,0.251558184,-0.027747808,0.926203545,0.90914844,0.94431026,0
0.332160195,0.71128901,4.18919048,3.89662854,3.979965661,5.728105994,0.905953978,0.066897292,0.881030832,-0.208359763,-0.131999285,0.892806984,0.926708239,0.905866119,0.147338886,0.554498991,3.723698706,3.350376358,3.315431161,1.9954619,3.980112168,3.163165286,0.006645892,0.213617846,-0.165980546,0.793511285,0.898171172,0.915940512,1
0.139411079,0.314399779,3.46676524,3.26879125,3.629619877,-0.870661469,-0.542768844,0.144490536,-0.000860603,-0.479538417,-0.05851923,0.931767408,0.931400372,0.949271075,0.262094447,0.153297673,1.987433963,2.662908444,2.067246429,-0.593172191,-0.336875539,-1.017921156,-0.144802997,-0.084626703,0.143486337,0.939467358,0.920516984,0.953546922,0
0.11651103,0.542425431,4.689083603,4.556468388,4.597566091,4.642613658,-0.345993628,0.024417548,0.076858632,0.320412075,0.080657982,0.927676278,0.914450041,0.952296602,0.074695695,0.456168973,3.43278885,3.443593859,3.327114252,3.206253731,0.138462082,0.58967225,-0.784030126,0.074422873,-0.293373451,0.916596537,0.95212351,0.937668741,1
0.059429924,0.341162144,4.535327865,4.471110118,4.609785539,-0.382265396,-0.592716086,-0.836040051,0.229776292,-0.554324701,0.266274264,0.939726521,0.957251041,0.936524732,0.178960449,0.106233633,2.582410812,3.355938036,3.158652585,0.486818885,-0.488920542,-0.437173955,-0.27565575,-0.254862764,-0.108377124,0.957496132,0.970821895,0.959545043,0
