RUS_DOP,RUS_RV2T,RUS_EntropyZ,RUS_EntropyN,RUS_EntropyE,RUS_KurtosisZ,RUS_KurtosisN,RUS_KurtosisE,RUS_SkewZ,RUS_SkewN,RUS_SkewE,RUS_CDZ,RUS_CDN,RUS_CDE,BRR_DOP,BRR_RV2T,BRR_EntropyZ,BRR_EntropyN,BRR_EntropyE,BRR_KurtosisZ,BRR_KurtosisN,BRR_KurtosisE,BRR_SkewZ,BRR_SkewN,BRR_SkewE,BRR_CDZ,BRR_CDN,BRR_CDE,EsSismo
0.11007468,0.518457046,3.8437227,3.413070185,3.511060896,-0.424742882,-0.285862062,-0.21574607,-0.109547124,0.335192494,0.456233299,0.948635555,0.930153685,0.916138372,0.071865703,0.244485472,2.414729181,2.794570987,2.492430302,-0.343417443,-0.860170959,-0.346090282,-0.044665423,0.135463046,-0.0889711,0.88129256,0.932344503,0.908427852,1
0.118509693,0.200259875,2.866844234,3.330040412,3.573424923,4.444788322,-0.436480723,-0.764331619,1.824752288,0.262043557,0.320671364,0.90402987,0.957360221,0.948767384,0.121963221,0.156779441,2.497870253,2.945469399,2.931019508,-0.856480628,-0.330683414,0.15933514,-0.09029596,0.267555304,-0.118772238,0.954536934,0.928058875,0.952040728,0
0.322306272,0.689862789,4.155484402,4.296906073,4.354964578,19.0077635,-0.726222879,-0.418941805,-2.844270645,0.222751973,0.065577741,0.857392818,0.966486246,0.94189534,0.101747566,0.161923736,2.501754691,3.100491051,3.067940684,5.152140704,-0.183944807,-0.625307241,-1.670045571,0.193597473,0.119671358,0.947294975,0.92911059,0.879787565,1
0.120154052,0.224058117,4.22845311,4.306197203,4.342945645,-0.696411257,-0.634083694,0.062209851,-0.011593919,-0.033134269,0.60563139,0.923243069,0.955417986,0.906586804,0.018076437,0.374980657,2.893466467,2.931347396,2.929969115,-1.023363993,0.079979187,-0.844952804,-0.205899787,0.32175785,-0.08096156,0.85277501,0.953509474,0.967215137,0
0.696357025,0.871112528,3.909992759,4.054082008,3.604969811,8.665361184,-0.686001055,1.423494293,0.091688708,-0.133900453,-0.697926838,0.786425342,0.963224312,0.932791779,0.275798614,0.104381409,2.646648015,3.441950936,3.209408703,0.179548495,-0.354316419,0.112385398,0.121828203,0.047642736,-0.068099029,0.948071666,0.908367053,0.96978964,1
0.170417419,0.203139813,3.528169069,3.86507382,3.736176648,0.643782083,-0.762886351,0.062913952,0.793622502,0.492601471,-0.516621823,0.935917252,0.920924702,0.926495348,0.332930349,0.039157063,2.497763303,3.791973958,3.37323274,-0.685755788,-0.440964248,-0.65746195,-0.11193311,-0.115153589,-0.035090368,0.928429608,0.959035674,0.936301475,0
0.312997984,0.672524443,3.444280107,3.433442803,3.632252841,14.09438879,-0.2797693,-1.072376157,-3.591007326,0.16543241,0.290048558,0.86103208,0.965401058,0.927992831,0.063653201,0.475595568,2.698866848,2.757698695,2.678618737,3.24027024,-0.148388203,1.785551461,-0.258916506,-0.175250414,-0.729956475,0.913697225,0.920636562,0.941778533,1
0.03081455,0.393821308,3.460745624,3.264639522,3.393530299,-0.501853092,-0.938731924,0.307381175,0.296302923,-0.016811874,0.142729898,0.955087902,0.951417274,0.8881505,0.106540246,0.151188843,2.015820589,2.465588241,2.507405247,-0.184599907,0.300978104,-0.219265256,0.104406207,-0.114671134,-0.075696853,0.925527803,0.927195342,0.955947209,0
0.105272435,0.48993646,4.438657888,4.509300968,4.601936817,10.09611247,-0.99495037,-0.186089084,-0.483034657,0.073032355,0.150992979,0.921922056,0.925722457,0.944288739,0.107531704,0.138684763,2.675724198,3.256905332,3.178265339,-0.070473896,-0.569585417,0.632423416,0.199976554,0.014979198,-0.046301798,0.929732009,0.967169079,0.935120635,1
0.1806816,0.561032,4.672023765,4.470183358,4.389856483,-0.929366044,-0.93202275,0.544753906,0.004918305,-0.06494526,-0.61836593,0.921693083,0.945472451,0.936577383,0.389749285,0.075453421,2.401696769,3.461318491,2.828162053,-0.217648981,-0.596275745,-0.264853533,0.128849238,-0.000858669,-0.267265008,0.919098202,0.932923406,0.927055138,0
0.145972653,0.300960407,4.608522182,4.65215611,4.669898652,0.130610464,-0.191298512,-0.352283891,-0.141093949,-0.096803575,0.002903552,0.943770529,0.973991078,0.946409253,0.139961041,0.116514612,2.158901607,2.795329957,2.808322251,0.920790207,-0.550923386,0.140681565,0.08618572,0.167799149,-0.259142974,0.920201762,0.943943733,0.94310574,1
0.212454518,0.241084604,4.810362589,4.848553439,4.942060553,-1.045365467,-0.210901882,-0.935542193,-0.000100821,-0.059631744,0.023823976,0.965940061,0.96068083,0.949616877,0.217548998,0.052593524,1.944010031,3.027540928,2.872426042,-0.810523688,-0.036566111,-0.894545138,-0.103845178,-0.131586262,0.141533162,0.958196649,0.955448751,0.975956032,0
0.078308664,0.448837381,4.877061066,4.810016482,4.829547539,1.3640352,-0.774733097,-0.700673836,-0.526152776,0.146945424,0.035253349,0.910711643,0.95320627,0.951699316,0.259732887,0.08516773,2.289765435,3.32626303,2.953013331,-0.307012848,-0.188863983,-0.676340847,-0.727017948,0.39006379,-0.116771898,0.945614807,0.947450683,0.965733742,1
0.090970184,0.399435843,4.566217188,4.344298528,4.466013147,0.113351941,-0.697886064,0.095258884,0.239000989,-0.144489843,-0.406425174,0.936490426,0.960846217,0.902517147,0.230651066,0.069673088,2.264014622,3.189415723,3.046747871,0.511272858,-0.176184525,-0.553046798,-0.409808181,-0.269458866,-0.091665776,0.974207878,0.918037928,0.974907954,0
0.276634945,0.22868437,4.552153157,4.596133193,4.76489416,1.005588536,-0.350267114,-0.648939868,0.446197774,-0.342394704,-0.040051616,0.949410656,0.953303958,0.935913007,0.094350154,0.18270175,3.322297484,3.768773899,3.675366142,1.921193952,-0.565400184,0.33216309,0.821975575,0.339279254,0.115255384,0.955651635,0.947045095,0.917199288,1
