Latitude,Longitude,Depth
6.846,-73.451,107.6
6.835,-73.301,122.6
6.756,-73.143,146.4
6.809,-73.138,147.8
6.754,-73.136,143.8
6.783,-73.192,145.3
6.822,-73.179,142.3
6.811,-73.014,132.5
6.551,-73.579,100.3
6.718,-73.227,147.9
6.727,-73.220,149.5
6.758,-73.051,142.6
6.788,-72.683,4.0
6.814,-73.137,143.5
6.814,-73.152,149.5
6.782,-73.146,154.6
6.505,-73.568,106.0
6.721,-73.228,155.5
6.820,-73.151,141.3
6.799,-73.134,143.6
6.826,-73.098,148.6
7.200,-74.019,8.9
6.688,-73.553,112.5
6.773,-73.186,137.7
6.782,-73.109,148.0
6.779,-73.137,149.7
6.832,-73.353,117.7
6.826,-73.362,121.5
6.757,-73.149,143.9
6.772,-73.183,134.8
6.752,-73.148,145.3
6.807,-73.154,139.5
6.763,-73.162,140.0
6.777,-73.021,146.8
6.815,-73.098,152.0
6.776,-73.091,149.2
6.719,-73.126,142.0
6.813,-73.100,147.0
6.770,-73.129,151.6
6.784,-73.141,152.8
6.803,-73.165,145.0
6.073,-73.771,103.5
6.896,-73.210,141.9
6.795,-73.129,140.3
6.806,-73.135,146.0
6.816,-73.158,144.9
6.795,-73.178,140.7
6.691,-73.215,151.9
6.792,-73.140,149.5
6.802,-73.159,144.3
6.834,-73.144,144.3
7.461,-73.487,106.0
6.800,-73.138,149.3
6.755,-73.150,147.3
6.287,-73.670,108.0
6.770,-73.172,143.8
6.851,-73.155,148.0
6.033,-73.803,100.0
7.193,-73.656,10.3
6.766,-72.953,141.8
6.795,-73.161,144.4
7.426,-73.205,123.9
6.803,-73.087,144.0
6.773,-73.115,141.5
6.779,-73.146,150.0
6.787,-73.047,146.9
6.795,-73.111,148.8
6.798,-73.120,143.7
7.372,-73.374,114.8
6.726,-73.129,144.0
6.556,-73.449,119.3
6.790,-73.141,144.0
6.769,-73.142,150.1
6.266,-73.842,84.3
6.773,-73.143,142.6
6.728,-73.139,130.6
6.762,-73.157,147.2
6.794,-73.078,154.0
6.828,-73.168,142.0
6.822,-73.154,147.5
6.764,-73.233,148.3
7.036,-73.361,0.3
6.824,-73.160,145.7
6.786,-73.130,146.0
6.776,-73.054,150.3
6.773,-73.179,152.3
6.749,-72.971,134.0
6.797,-73.130,144.4
6.838,-73.115,137.2
6.744,-73.134,145.2
6.777,-73.138,148.8
6.791,-73.164,139.0
6.776,-73.108,141.6
6.763,-73.103,139.7
6.803,-73.030,143.6
6.820,-73.123,141.1
6.758,-73.143,139.2
6.821,-73.139,147.5
6.750,-73.079,134.0
6.781,-73.114,140.7
6.763,-73.180,145.9
6.814,-73.322,117.6
6.709,-73.205,154.4
6.793,-73.148,148.0
6.808,-73.161,146.0
6.777,-73.104,150.1
6.802,-73.160,152.7
6.765,-73.143,145.7
6.800,-73.138,145.2
6.782,-73.145,146.2
6.778,-73.129,144.9
6.755,-73.081,144.3
6.793,-73.153,146.0
6.806,-73.174,144.7
6.526,-73.542,114.4
6.707,-72.968,3.8
7.001,-73.179,131.2
6.783,-73.175,145.1
6.793,-73.133,146.0
6.804,-73.170,151.1
6.705,-73.063,145.3
6.786,-73.063,151.2
6.769,-73.153,150.0
6.524,-73.565,114.2
6.816,-73.083,142.3
6.746,-73.126,140.3
6.746,-73.064,148.0
6.793,-73.129,144.9
6.804,-73.165,141.6
6.805,-73.071,151.2
6.755,-73.141,148.3
6.804,-73.168,138.0
6.878,-73.355,121.3
6.585,-73.161,144.0
6.802,-73.209,145.9
6.794,-73.109,139.5
6.849,-73.166,132.8
5.763,-73.919,101.0
6.798,-73.096,145.9
6.726,-73.161,143.9
6.751,-73.087,146.5
6.755,-73.135,144.7
6.623,-73.224,133.4
6.789,-73.132,146.9
6.704,-73.206,143.6
6.804,-73.162,137.9
6.790,-73.126,145.8
6.181,-73.636,113.2
6.815,-73.131,145.0
6.882,-73.273,118.4
6.762,-73.102,145.9
6.742,-73.175,148.6
6.770,-73.108,148.5
6.696,-73.149,144.1
6.720,-73.118,143.5
6.808,-73.045,143.0
6.671,-73.174,148.4
6.816,-73.179,148.8
6.605,-73.606,102.0
6.765,-73.079,148.4
6.759,-73.149,136.8
6.808,-73.094,149.3
6.840,-73.187,144.0
6.832,-73.182,145.7
6.785,-73.170,149.3
6.777,-73.106,140.3
6.825,-73.175,142.0
6.797,-73.143,146.1
6.771,-73.048,138.0
5.962,-73.791,106.0
6.210,-73.981,4.1
6.778,-73.081,144.0
6.772,-73.136,142.0
6.786,-73.095,150.5
6.830,-73.223,147.9
6.729,-73.164,146.0
6.809,-73.180,139.4
6.848,-73.154,143.6
6.762,-73.112,138.4
6.792,-73.143,139.7
6.782,-73.137,131.6
6.762,-73.200,136.3
6.854,-73.285,120.3
6.758,-73.169,148.6
6.497,-73.089,139.0
6.804,-73.099,138.5
6.728,-73.096,147.1
6.722,-73.182,149.6
6.784,-73.070,148.2
6.800,-73.186,152.8
6.754,-73.065,141.1
6.774,-73.100,148.1
6.813,-73.180,143.7
6.785,-73.153,146.0
6.476,-73.625,92.0
6.766,-73.091,152.8
6.812,-73.137,148.3
6.771,-73.183,150.8
7.157,-73.325,0.0
6.848,-73.117,150.0
6.785,-73.112,144.4
6.785,-73.200,139.9
6.808,-73.161,136.0
6.696,-73.112,134.9
6.808,-73.104,144.5
6.761,-73.175,138.1
6.848,-73.217,140.4
6.808,-73.066,142.0
6.688,-73.208,149.4
6.767,-73.155,142.7
6.852,-73.156,148.7
6.744,-72.967,109.3
6.724,-73.198,146.5
6.795,-73.139,145.2
6.733,-73.138,149.7
6.809,-73.153,144.8
6.848,-73.173,141.2
6.753,-73.202,148.0
6.770,-73.102,141.5
6.786,-73.173,137.2
6.830,-73.102,136.9
6.641,-73.180,141.9
7.413,-73.201,130.7
6.791,-73.006,140.0
6.727,-73.172,153.5
6.436,-73.406,67.4
6.780,-73.125,144.7
6.843,-73.214,138.8
6.445,-73.463,119.3
6.785,-73.059,146.1
6.758,-73.147,143.1
6.315,-73.688,98.1
6.265,-73.568,115.0
6.800,-73.162,150.0
6.826,-73.180,144.0
6.744,-73.134,150.0
6.726,-73.160,147.3
6.808,-73.092,149.9
6.808,-73.114,137.7
6.791,-73.157,149.0
5.746,-73.905,120.4
6.830,-73.153,141.8
6.752,-73.173,143.6
6.846,-73.109,145.9
6.813,-73.133,150.0
6.339,-73.565,114.4
6.476,-73.590,112.9
6.809,-73.079,139.1
6.774,-73.102,142.1
6.809,-73.141,153.3
6.784,-73.122,149.8
6.827,-73.180,142.5
6.696,-73.192,156.8
6.812,-73.061,141.3
6.787,-73.153,150.8
6.798,-73.154,146.5
6.777,-73.114,144.0
6.737,-73.139,136.5
6.758,-73.078,140.7
6.806,-73.121,134.9
6.830,-73.147,149.1
6.723,-73.183,149.8
6.796,-73.145,148.9
6.824,-73.117,144.4
6.771,-73.156,150.8
6.793,-73.140,143.5
6.737,-73.084,137.1
6.795,-73.097,148.6
6.759,-73.163,134.4
6.886,-72.866,153.6
6.760,-73.120,145.3
6.397,-73.712,96.5
6.822,-73.198,141.8
6.742,-73.127,145.0
6.751,-73.130,147.2
6.823,-73.227,140.5
6.794,-73.067,146.7
6.802,-73.129,147.6
6.829,-73.138,143.8
6.755,-73.167,148.0
6.744,-73.139,140.5
6.674,-73.250,147.9
6.838,-73.054,148.6
6.815,-73.152,139.6
6.827,-73.047,141.4
6.648,-73.086,130.3
6.312,-73.774,82.2
6.743,-73.119,136.0
6.802,-73.165,140.0
6.738,-73.143,149.1
6.785,-73.118,142.0
6.761,-73.116,151.2
6.784,-73.144,143.9
6.855,-73.109,151.1
6.750,-73.131,141.6
6.834,-73.142,142.0
6.784,-73.092,146.1
6.902,-73.189,146.5
6.390,-73.747,97.7
6.774,-73.144,139.2
6.762,-73.122,150.8
6.799,-73.150,150.2
6.835,-73.167,144.6
6.801,-73.142,148.9
6.786,-73.057,149.3
6.770,-73.133,151.5
6.565,-73.528,114.2
6.525,-73.497,113.3
6.781,-73.165,140.4
6.781,-73.160,144.9
6.801,-73.097,148.5
6.802,-73.149,147.8
6.792,-73.092,143.3
6.760,-73.197,141.1
6.839,-73.205,138.0
6.770,-73.158,147.3
6.566,-73.551,110.0
6.805,-73.164,149.5
6.807,-73.146,144.8
6.586,-73.486,116.0
6.541,-73.527,110.5
6.842,-73.152,150.8
6.818,-73.103,142.6
6.806,-73.197,141.4
6.808,-73.159,144.5
6.773,-73.161,142.7
6.823,-73.008,166.6
6.739,-73.167,141.8
6.825,-73.149,150.0
6.812,-73.155,138.7
6.286,-73.647,114.9
6.796,-73.123,150.3
6.856,-73.179,140.7
6.786,-73.113,139.8
6.764,-73.095,150.2
6.799,-73.163,142.4
6.842,-73.175,148.3
6.766,-73.167,136.3
6.784,-73.132,138.2
6.853,-73.145,147.8
7.420,-73.255,135.3
6.817,-73.193,143.2
6.754,-73.147,143.4
6.806,-73.173,147.3
6.827,-73.127,148.4
6.783,-73.415,118.0
6.745,-73.130,150.0
6.730,-73.167,140.0
6.766,-73.116,152.0
6.807,-73.135,149.5
6.761,-73.040,150.1
6.781,-73.134,148.0
6.778,-73.118,141.3
6.738,-73.143,152.2
6.766,-73.127,144.2
6.825,-73.064,146.0
6.766,-73.124,147.1
6.771,-73.084,148.5
7.372,-72.897,175.7
6.821,-73.100,150.2
6.796,-73.047,148.0
6.784,-73.160,141.4
6.784,-73.131,141.6
6.792,-73.169,140.1
6.723,-73.136,140.0
6.758,-73.224,146.8
6.775,-73.120,151.2
6.777,-73.059,146.6
6.807,-73.086,143.4
7.205,-74.115,4.0
7.081,-73.309,127.6
6.785,-73.100,148.1
6.803,-73.130,149.1
6.778,-73.146,150.7
6.764,-73.151,145.7
6.814,-73.156,145.2
6.831,-73.166,150.0
6.756,-72.919,147.6
6.819,-73.120,146.0
6.190,-73.674,108.0
6.710,-73.482,113.6
6.805,-73.038,144.0
6.778,-72.912,146.2
6.774,-73.089,147.8
6.801,-73.112,142.9
6.750,-73.204,154.2
6.765,-73.137,147.4
7.229,-73.066,16.2
6.802,-73.354,140.0
6.776,-73.133,143.4
6.551,-73.550,107.4
6.165,-73.851,4.0
6.720,-73.186,146.0
6.708,-73.203,149.9
5.903,-73.683,120.7
6.797,-73.142,151.0
6.787,-73.172,140.3
6.810,-73.151,145.5
5.769,-73.919,107.5
6.767,-73.211,143.3
6.780,-73.146,146.0
6.808,-73.123,148.0
6.767,-73.144,146.5
6.798,-73.125,129.6
6.790,-73.124,144.2
6.789,-73.144,149.0
6.788,-73.085,143.8
6.819,-73.029,150.2
6.763,-73.204,149.0
6.841,-73.147,146.5
6.811,-73.129,149.8
6.753,-73.134,145.8
7.165,-73.968,95.5
6.772,-73.119,144.5
6.584,-73.840,85.9
6.858,-73.265,125.3
6.789,-73.170,146.4
6.692,-73.534,107.6
6.792,-73.142,147.1
6.808,-73.151,143.7
6.770,-73.020,142.4
6.769,-73.117,141.8
6.777,-73.163,143.5
6.824,-73.160,119.7
6.778,-73.141,148.2
6.787,-73.149,143.3
6.795,-73.172,141.2
6.805,-73.045,142.5
5.887,-74.066,88.4
6.766,-73.150,141.9
6.754,-73.069,139.8
6.768,-73.163,146.4
6.754,-73.110,146.3
6.687,-73.248,130.8
6.730,-73.227,151.4
6.769,-73.208,136.0
6.807,-73.147,152.6
6.780,-73.166,138.3
6.567,-73.586,104.6
6.803,-73.158,145.7
6.788,-73.139,147.7
6.823,-73.057,155.6
6.785,-73.099,145.8
5.950,-73.996,8.8
6.768,-73.089,144.6
6.023,-73.897,1.2
6.765,-73.118,134.9
6.783,-73.004,142.4
6.796,-73.111,137.2
6.790,-73.141,140.7
6.786,-73.137,151.7
6.536,-73.551,105.8
6.822,-73.145,148.0
6.835,-73.126,151.3
6.789,-73.076,146.5
6.813,-73.133,143.3
6.527,-73.561,137.6
6.541,-73.409,3.2
6.809,-73.123,146.8
6.709,-73.165,148.0
6.818,-73.117,147.1
6.791,-73.163,148.0
6.779,-73.093,141.9
6.850,-73.135,144.3
6.790,-73.016,140.0
6.741,-73.215,139.7
5.832,-73.854,110.0
7.463,-73.090,121.3
6.769,-73.169,153.6
6.761,-73.150,143.5
6.780,-73.119,139.4
6.726,-73.118,142.6
6.805,-73.123,145.3
6.653,-73.625,12.0
6.667,-73.118,140.4
7.321,-73.429,114.2
6.691,-73.187,145.0
7.030,-73.477,106.5
6.786,-73.061,146.0
6.806,-73.162,145.5
6.536,-73.529,112.5
6.735,-73.131,152.7
6.495,-73.727,101.3
6.756,-73.144,141.1
6.785,-73.116,149.5
6.753,-73.139,147.4
6.784,-73.182,143.9
6.793,-73.132,145.0
6.365,-73.672,100.0
6.822,-73.222,140.7
6.849,-73.162,137.6
6.805,-73.077,143.0
5.998,-73.687,128.4
6.780,-73.151,150.0
6.806,-73.146,144.1
7.610,-73.187,133.3
6.819,-73.200,141.2
6.642,-73.120,149.1
6.814,-73.130,148.7
6.741,-73.098,140.5
5.910,-73.797,115.4
6.000,-73.985,14.3
6.781,-73.144,149.1
6.806,-73.119,141.7
6.732,-73.156,150.4
6.814,-73.140,141.5
6.335,-73.614,112.0
6.804,-73.002,139.2
6.801,-73.107,147.2
6.792,-73.123,155.3
